"Higher Level Collection","Collection ID","Collection or Subsection Name","Main Collection or Subsection","Date Created","Record ID","Primary Seed","Title of Target","Description","Language","Licence Status","LD Criteria","Institution ID","Updated","Depth","Scope","Robots.txt","Crawl Frequency","Crawl Start Date","Crawl End Date"
NULL,1230,Scottish Churches,Main Collection,2018-03-01 15:42:03.902,61892,http://bridgetonstfrancis.org.uk/,Bridgeton St Francis in the East,"Site of a Church of Scotland parish church Bridgeton, Glasgow.",EN,PENDING,false,3,2018-07-04 07:10:13.348,CAPPED_LARGE,root,NULL,ANNUAL,2018-03-02 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-03-01 10:22:09.845,61877,http://www.west-kirk-polbeth-harwood.co.uk/,Polbeth Harwood with West Kirk of Calder,"Site of two linked Church of Scotland parish churches at Polbeth and West Calder, West Lothian.",EN,PENDING,false,3,2018-07-04 07:10:21.453,CAPPED_LARGE,root,true,ANNUAL,2018-03-02 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-03-01 09:53:49.698,61873,http://www.whithorn-stninianspriory.org.uk/,St. Ninian's Priory Parish Church of Scotland,"Site of a Church of Scotland parish church at Whithorn, Dumfries and Galloway, linked to churches at Glasserton and Isle of Whithorn.",EN,PENDING,false,3,2018-07-04 07:11:08.433,CAPPED,root,true,ANNUAL,2018-03-02 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-03-01 09:26:52.266,61870,http://www.williamwoodparishchurch.org.uk/,Williamwood Parish Church,"Site of a Church of Scotland parish church in Clarkston, Glasgow.",EN,NULL,false,3,2018-07-04 07:13:05.359,CAPPED_LARGE,root,true,ANNUAL,2018-03-02 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-03-01 10:05:03.936,61875,http://www.whitburnsouthparishchurch.org.uk/,Whitburn South Parish Church,"Site of a Church of Scotland parish church at Whitburn, West Lothian.",EN,PENDING,false,3,2018-07-04 07:12:10.810,CAPPED_LARGE,root,NULL,ANNUAL,2018-03-02 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-03-01 09:44:04.269,61872,http://www.wickstferguschurch.org.uk/,Wick St. Fergus Church,"Site of a Church of Scotland parish church in Wick, Caithness / Highlands.",EN,PENDING,false,3,2018-07-04 07:12:08.083,CAPPED_LARGE,root,NULL,ANNUAL,2018-03-02 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-03-02 11:29:27.098,61927,http://www.aberlady-gullaneparishchurches.org.uk/,Aberlady & Gullane Parish Churches,"Site of two Church of Scotland parish churches at Gullane and aberlady, East Lothian.",EN,PENDING,false,3,2021-08-18 16:04:11.075,CAPPED_LARGE,root,true,ANNUAL,2018-03-03 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-03-01 09:31:39.554,61871,http://www.wigtownparishchurch.org.uk/,Wigtown Parish Church of Scotland,"Site of a Church of Scotland parish church at Wigtown, Dumfries and Galloway, and covering Kirkcowan.",EN,PENDING,false,3,2018-07-04 07:12:55.374,CAPPED_LARGE,root,true,ANNUAL,2018-03-02 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-03-02 16:00:51.224,61935,http://strathbrockparish.net/,Strathbrock Parish,"Site of a Church of Scotland parish church at Uphall, West Lothian, with St. Nicholas Church, Uphall
",EN,NULL,false,3,2018-07-04 07:13:49.359,CAPPED_LARGE,root,true,ANNUAL,2018-03-03 09:00:00.000,NULL
NULL,1230,Scottish Churches,Main Collection,2018-03-02 16:08:32.042,61936,http://www.blairdrummondchurches.org.uk/,Blair Drummond Churches,"Site of a group of Church of Scotland parishes at Blair Drumond, Stirlingshire, covering the Gargunnock, Kilmadock & Kincardine-in-Menteith churches.",EN,NULL,false,3,2018-07-04 07:14:47.826,CAPPED_LARGE,root,true,ANNUAL,2018-03-03 09:00:00.000,NULL
